ID;PE1;PE2;PE3;PE4;EE1;EE2;EE3;SI1;SI2;SI3;SI4;FC1;FC2;FC3;HM1;HM2;HM3;HA1;HA2;HA3;HA4;HA5;IU1;IU2;U1;U2;U3;U4;TRI1;TRI2;TRI3;TRI4;TRI5;TRI6;TRI7;TRI8;TRI9;TRI10;TRI11;TRI12;TRI13;TRI14;TRI15;TRI16;EXP;EDU;SOC;WSTATUS;RETIRED;GENDER;BORN;GENERATION;REGION
1;5;4;5;4;3;2;3;5;4;5;4;3;1;5;4;4;4;3;3;2;2;2;4;4;4;3;1;1;4;4;4;4;2;4;2;1;4;5;5;5;4;3;4;5;4;3;3;N;Y;Female;1943;Silent generation ;Biobío
2;5;5;5;5;3;3;3;4;4;4;4;3;3;4;5;5;5;4;5;5;4;4;5;5;5;5;4;4;4;3;4;4;4;2;2;2;4;3;4;4;2;4;5;3;10;3;2;N;Y;Male;1952;Early Baby boomer ;Biobío
3;5;5;5;4;4;4;2;5;5;5;5;4;2;5;5;5;5;5;5;5;5;3;5;5;5;5;4;4;4;3;2;2;4;1;1;2;4;4;4;4;2;2;4;2;10;3;2;Y;N;Female;1954;Early Baby boomer ;Biobío
4;2;2;4;3;2;1;1;3;3;3;3;2;1;2;3;4;3;2;1;1;1;1;3;2;4;3;1;1;4;3;3;3;2;2;1;3;4;4;4;4;4;4;4;5;5;3;3;N;Y;Female;1935;Silent generation ;Biobío
5;3;4;3;3;2;1;1;4;4;4;1;2;1;3;3;4;4;2;2;2;2;2;3;3;3;2;1;1;3;3;3;4;2;1;1;1;5;4;5;4;4;4;4;5;6;3;2;N;Y;Female;1935;Silent generation ;Biobío
6;5;5;5;4;5;5;5;4;3;5;4;4;5;5;5;5;5;5;5;5;4;5;5;3;5;5;5;2;5;4;4;4;4;2;2;3;2;2;2;2;2;3;4;2;17;4;3;Y;N;Male;1960;Late Baby boomer ;Coquimbo
7;5;5;5;1;3;5;5;5;4;4;5;5;5;5;5;5;5;5;4;5;5;5;5;3;5;4;5;1;5;5;3;3;1;1;4;3;3;3;5;5;5;5;5;5;7;2;3;Y;Y;Female;1949;Early Baby boomer ;Biobío
8;4;5;5;1;4;4;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;1;5;5;4;3;1;1;4;3;3;3;5;5;5;5;5;5;5;3;3;N;Y;Male;1948;Early Baby boomer ;Biobío
9;4;4;5;5;4;5;5;5;4;4;4;5;3;5;5;5;5;5;5;5;5;4;5;5;5;5;5;1;5;5;5;4;3;2;3;2;2;3;3;2;5;5;5;5;2;3;2;N;Y;Female;1957;Early Baby boomer ;Coquimbo
10;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;1;5;5;5;3;4;1;3;3;2;3;2;3;5;5;5;5;12;4;3;N;Y;Female;1954;Early Baby boomer ;Biobío
11;5;5;5;5;4;4;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;3;5;2;5;5;5;5;2;2;2;3;5;2;2;2;2;2;4;4;17;4;4;N;Y;Female;1953;Early Baby boomer ;Coquimbo
12;4;5;5;5;4;4;4;5;5;5;5;5;4;5;5;4;5;4;4;4;4;4;5;4;3;3;5;1;5;5;5;5;1;5;5;5;5;1;1;1;1;1;5;1;17;4;4;N;Y;Male;1943;Silent generation ;Coquimbo
13;4;4;5;4;2;2;2;4;4;4;4;2;2;4;4;4;4;4;3;3;3;3;4;4;4;4;4;1;3;3;2;4;2;1;1;1;4;4;3;4;2;2;2;4;10;4;3;Y;Y;Male;1952;Early Baby boomer ;Biobío
14;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;4;5;4;4;5;4;5;5;4;5;5;4;4;4;4;4;3;2;2;4;4;5;3;3;3;2;4;4;4;11;4;3;N;Y;Male;1952;Early Baby boomer ;Biobío
15;3;4;5;4;3;3;4;4;3;4;3;3;4;5;4;5;4;4;4;4;3;3;4;4;4;4;3;1;5;4;3;4;2;2;3;3;4;4;3;4;4;4;5;5;10;3;3;Y;N;Male;1961;Late Baby boomer ;Biobío
16;5;5;5;4;4;4;4;4;4;4;3;5;4;5;5;5;5;5;5;5;4;5;4;3;5;3;4;2;4;5;4;5;2;2;2;2;4;4;4;5;4;4;4;2;15;3;3;N;Y;Male;1956;Early Baby boomer ;Biobío
17;4;5;4;3;3;3;4;4;4;4;4;4;3;4;4;4;4;3;3;4;3;5;5;5;5;4;4;2;5;4;5;5;3;3;3;4;4;4;4;4;4;4;5;3;10;3;2;Y;N;Female;1960;Late Baby boomer ;Biobío
18;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;5;5;4;5;5;5;4;2;2;3;5;4;5;2;3;5;2;5;3;15;4;3;N;Y;Female;1960;Late Baby boomer ;Biobío
19;5;5;5;5;5;3;3;3;4;4;5;4;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;2;2;2;2;5;3;3;2;2;5;5;5;4;3;3;N;Y;Female;1956;Early Baby boomer ;Biobío
20;5;5;4;4;2;4;3;4;2;4;5;4;3;4;4;4;4;5;5;5;5;5;5;5;5;4;4;3;4;4;5;5;5;4;5;4;4;4;3;4;5;5;5;4;5;3;3;N;Y;Female;1953;Early Baby boomer ;Biobío
21;5;3;3;3;4;4;4;5;3;5;5;4;4;4;4;4;4;5;5;4;4;3;4;4;5;4;3;4;4;4;4;4;3;2;2;3;4;4;4;4;4;5;5;4;10;4;2;Y;N;Male;1959;Late Baby boomer ;Biobío
22;4;4;4;4;4;3;5;4;4;4;4;4;4;4;4;4;2;2;2;2;4;2;4;3;1;3;2;1;5;4;4;4;3;3;2;4;5;4;2;5;2;2;5;4;2;4;2;N;Y;Male;1944;Silent generation ;Biobío
23;2;2;2;4;2;2;4;4;4;2;4;2;4;4;3;3;4;2;4;4;4;4;4;2;5;5;4;4;4;4;4;1;1;1;1;5;4;2;4;4;5;5;5;5;15;3;3;N;Y;Female;1958;Late Baby boomer ;Biobío
24;2;2;2;4;2;2;4;4;2;2;4;2;4;4;4;3;3;2;2;4;4;2;4;2;3;5;2;4;4;4;4;1;1;1;1;5;3;2;4;4;5;5;5;5;10;4;3;N;Y;Female;1960;Late Baby boomer ;Biobío
25;2;4;4;5;1;1;1;2;2;4;1;5;1;5;4;2;4;4;1;4;4;5;5;4;5;3;4;1;4;4;3;1;1;1;1;5;4;5;5;4;4;5;4;5;10;4;2;N;Y;Female;1960;Late Baby boomer ;Biobío
26;3;2;4;4;2;1;1;2;2;4;2;4;2;5;4;2;3;4;4;2;1;4;4;3;5;3;4;1;4;4;3;1;1;1;1;5;4;5;5;4;5;5;4;5;8;4;2;Y;N;Male;1959;Late Baby boomer ;Biobío
27;4;4;4;4;2;4;4;2;2;2;4;4;4;2;4;4;4;2;2;2;1;1;4;2;1;2;1;1;4;4;2;4;2;2;4;4;4;4;4;4;4;4;4;4;8;4;1;Y;N;Male;1961;Late Baby boomer ;Biobío
28;4;4;4;4;4;4;4;5;5;5;4;4;5;4;3;3;2;4;4;4;4;4;4;4;4;5;4;4;4;4;4;2;4;4;2;4;4;4;4;4;4;4;4;4;3;3;3;N;Y;Female;1945;Silent generation ;Biobío
29;1;1;1;4;1;3;3;2;2;2;2;4;2;4;2;2;2;1;1;1;1;1;1;1;1;1;3;1;4;4;2;2;2;1;1;4;4;3;4;4;5;5;5;5;5;4;3;N;Y;Female;1953;Early Baby boomer ;Biobío
30;4;5;5;5;4;4;4;5;5;5;4;4;5;4;4;4;5;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;2;2;2;2;2;4;4;4;4;4;4;10;3;3;Y;N;Male;1961;Late Baby boomer ;Biobío
31;5;4;5;4;2;1;1;5;4;4;4;2;1;2;3;2;2;1;1;1;1;1;3;3;3;3;1;1;4;3;4;3;1;3;1;2;5;5;4;5;4;5;5;5;7;3;3;Y;N;Male;1961;Late Baby boomer ;Biobío
32;3;5;5;4;3;2;2;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;5;3;4;4;4;2;4;4;4;4;2;2;2;2;4;4;4;4;2;4;4;3;13;3;1;N;Y;Male;1955;Early Baby boomer ;Biobío
33;3;5;5;4;3;3;4;4;4;4;4;2;2;4;4;3;4;2;2;2;1;2;3;3;4;4;3;1;4;3;4;3;2;1;2;2;4;4;4;4;3;4;4;4;8;4;4;N;Y;Male;1944;Silent generation ;Biobío
34;3;4;4;4;3;3;2;4;4;4;4;3;3;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;4;4;4;4;5;4;10;3;4;N;Y;Female;1961;Late Baby boomer ;Coquimbo
35;2;5;5;5;3;3;3;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;2;2;2;2;4;4;4;4;4;4;4;5;10;3;3;N;N;Female;1952;Early Baby boomer ;Biobío
36;4;5;4;4;4;4;4;5;4;4;3;4;4;5;4;4;3;2;2;2;2;1;4;4;5;5;4;1;3;4;3;2;2;1;4;3;2;4;2;4;3;5;5;5;8;3;2;N;Y;Female;1956;Early Baby boomer ;Coquimbo
37;3;3;5;4;2;2;2;5;5;5;5;2;2;4;3;4;4;2;2;2;2;2;4;2;3;4;2;1;3;3;4;3;2;3;2;2;5;4;4;4;3;4;4;5;10;4;3;N;Y;Female;1961;Late Baby boomer ;Biobío
38;4;4;4;5;4;4;4;5;4;5;5;4;4;4;4;4;5;3;1;2;2;1;4;4;4;1;2;1;5;4;4;4;1;1;2;4;5;5;5;5;5;5;5;5;7;2;3;N;Y;Female;1949;Early Baby boomer ;Coquimbo
39;4;4;4;3;3;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;4;3;4;3;4;4;4;4;2;2;3;4;4;4;4;4;4;4;4;4;14;4;3;N;Y;Male;1949;Early Baby boomer ;Biobío
40;4;5;5;5;4;4;4;5;5;4;3;4;4;4;5;5;5;4;4;4;3;4;5;5;5;5;5;2;4;4;3;3;3;2;4;4;2;3;3;4;3;2;3;3;10;4;3;Y;N;Male;1961;Late Baby boomer ;Biobío
41;2;3;4;3;1;1;1;3;3;3;3;2;1;3;3;3;4;2;1;1;1;1;3;3;4;3;1;1;3;3;4;3;3;2;1;1;4;4;4;4;3;4;5;5;5;2;3;N;Y;Female;1945;Silent generation ;Biobío
42;4;3;4;3;3;3;3;3;3;4;4;3;3;3;4;4;4;3;2;3;3;3;4;4;4;4;1;1;4;3;4;5;2;3;4;3;4;4;5;5;4;5;5;5;10;3;3;N;Y;Male;1943;Silent generation ;Biobío
43;3;3;4;3;1;1;2;4;4;4;3;1;1;3;3;3;4;1;1;1;1;1;4;4;4;3;1;1;3;3;3;4;1;1;2;2;4;4;4;4;4;3;5;5;8;2;2;N;Y;Female;1941;Silent generation ;Biobío
44;4;3;4;4;3;2;2;3;3;3;2;4;2;4;4;4;4;4;3;3;3;3;4;3;3;3;3;2;4;4;3;2;2;2;3;4;4;4;4;4;4;5;5;4;15;4;4;Y;N;Male;1958;Late Baby boomer ;Biobío
45;4;3;4;4;4;4;3;3;3;3;3;3;1;4;4;4;3;3;3;2;2;3;3;2;4;1;1;1;4;4;4;4;2;2;2;3;4;3;3;3;5;4;4;4;2;4;3;N;Y;Female;1952;Early Baby boomer ;Biobío
46;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;3;3;4;4;4;3;3;1;4;4;4;4;3;3;4;3;4;4;3;4;4;3;5;3;9;3;3;N;N;Female;1959;Late Baby boomer ;Biobío
47;4;4;4;3;3;3;3;2;3;2;3;2;4;4;2;4;4;4;4;3;3;3;2;2;4;2;5;1;4;4;4;4;2;2;2;2;4;4;4;4;4;4;4;3;10;3;4;N;N;Female;1952;Early Baby boomer ;Biobío
48;4;4;4;4;4;4;4;2;4;3;4;5;4;2;4;4;4;4;4;4;5;4;2;2;4;2;5;1;4;4;4;4;2;2;4;4;4;4;4;4;4;4;4;3;12;3;3;N;N;Female;1958;Late Baby boomer ;Biobío
49;3;3;4;4;3;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;2;2;4;4;4;4;4;2;2;2;4;4;4;4;4;4;4;4;11;3;4;N;N;Female;1953;Early Baby boomer ;Biobío
50;3;4;4;3;2;2;2;2;2;2;4;2;4;4;4;4;2;2;2;2;2;2;4;4;4;2;3;2;4;4;4;4;2;2;2;4;4;4;4;4;4;4;4;4;11;4;4;Y;N;Male;1955;Early Baby boomer ;Biobío
51;4;4;4;4;3;4;3;4;4;4;4;4;4;3;3;4;2;2;2;2;2;2;4;2;4;3;3;2;4;4;2;3;2;2;3;4;4;4;3;4;3;4;2;4;7;3;3;N;Y;Female;1949;Early Baby boomer ;Biobío
52;4;4;4;4;3;4;3;4;4;4;4;4;4;4;3;3;3;2;2;2;2;2;4;2;4;3;3;2;4;4;2;3;2;2;3;4;4;4;3;4;2;4;4;4;7;3;3;Y;Y;Male;1948;Early Baby boomer ;Biobío
53;4;4;4;4;4;4;4;4;4;4;5;4;5;5;4;4;4;4;4;4;4;4;5;4;4;4;3;1;4;4;4;4;3;2;2;3;4;4;4;4;4;4;4;4;17;4;3;Y;Y;Male;1953;Early Baby boomer ;Biobío
54;5;5;5;5;5;3;3;3;3;3;3;4;3;4;4;4;4;4;3;3;3;3;5;5;5;5;5;5;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;15;4;3;Y;N;Female;1961;Late Baby boomer ;Biobío
55;4;4;4;4;2;2;4;3;3;3;1;4;3;5;4;3;4;2;2;2;2;2;4;3;3;3;2;2;4;4;4;3;2;2;2;2;4;4;4;4;5;5;5;5;5;3;3;N;Y;Female;1948;Early Baby boomer ;Biobío
56;4;4;4;4;2;2;2;3;3;3;1;4;2;4;4;4;4;4;4;3;3;2;4;2;4;4;4;3;4;4;4;4;2;2;2;2;3;3;3;2;4;4;4;4;5;2;3;N;Y;Male;1949;Early Baby boomer ;Biobío
57;5;5;5;4;3;4;5;5;5;4;5;3;3;4;4;4;4;3;3;3;3;3;4;4;4;4;3;4;5;4;4;4;3;3;3;3;4;4;4;4;4;5;5;5;6;3;3;Y;Y;Female;1953;Early Baby boomer ;Coquimbo
58;4;5;5;5;4;4;3;5;4;5;5;4;4;4;4;4;4;4;4;4;3;3;5;4;5;5;3;5;3;4;3;3;3;3;2;3;4;4;4;4;4;4;4;2;6;3;4;N;Y;Male;1948;Early Baby boomer ;Coquimbo
59;2;2;4;4;2;2;2;4;4;4;1;4;2;4;3;3;3;2;2;2;2;2;3;1;2;3;1;1;5;4;4;2;1;1;1;1;4;4;4;4;5;5;5;5;3;2;3;N;Y;Female;1933;Silent generation ;Biobío
60;5;5;5;5;4;4;4;5;5;5;5;5;4;5;5;5;5;5;4;4;4;4;5;3;5;5;5;4;3;3;3;4;3;2;2;4;4;4;4;4;3;3;4;2;7;3;4;Y;Y;Female;1948;Early Baby boomer ;Coquimbo
61;4;5;5;4;4;3;3;3;4;4;4;5;3;5;4;2;3;2;2;4;2;2;4;3;4;4;3;1;4;4;3;2;1;2;2;2;4;4;4;5;2;5;5;5;17;4;3;Y;Y;Male;1959;Late Baby boomer ;Coquimbo
62;4;3;4;4;2;2;2;4;4;4;3;3;2;4;4;4;4;4;4;4;4;4;4;4;3;3;3;2;4;4;3;3;4;2;2;2;2;3;5;4;2;4;4;4;11;4;3;N;Y;Male;1950;Early Baby boomer ;Biobío
63;4;4;4;4;2;2;4;4;4;4;4;2;3;4;3;3;3;2;2;4;2;2;4;3;3;3;3;1;4;3;3;3;2;1;2;2;4;4;4;4;3;4;4;1;6;3;2;N;Y;Female;1950;Early Baby boomer ;Biobío
64;4;4;5;4;4;4;4;4;4;4;4;4;4;5;4;5;4;4;4;4;4;4;5;5;5;4;4;3;4;5;4;4;3;2;4;3;4;3;3;4;4;4;5;4;10;3;4;Y;N;Female;1958;Late Baby boomer ;Biobío
65;4;4;4;4;3;3;3;4;4;4;1;4;2;4;4;4;4;4;2;2;2;3;4;3;5;4;4;1;4;4;4;4;2;2;2;3;4;4;4;4;5;5;5;5;3;2;2;N;Y;Male;1943;Silent generation ;Biobío
66;4;4;4;2;2;2;3;3;3;3;1;4;2;4;4;4;4;2;2;2;2;2;4;2;4;3;3;2;4;4;4;3;2;2;2;2;4;4;4;4;5;5;5;5;3;1;3;N;Y;Female;1950;Early Baby boomer ;Biobío
67;4;5;5;5;4;4;3;4;3;3;4;5;4;5;4;4;4;4;4;4;4;4;5;3;4;5;5;3;4;4;4;4;4;5;4;4;3;3;3;4;3;3;4;2;11;4;4;Y;N;Male;1958;Late Baby boomer ;Biobío
68;4;4;5;4;3;3;3;4;4;4;4;3;3;4;4;4;4;3;1;2;1;2;4;4;5;4;1;1;4;4;3;3;2;2;3;3;4;4;4;4;3;4;5;4;8;4;3;N;Y;Male;1946;Silent generation ;Biobío
69;3;3;4;3;2;2;2;4;4;4;3;2;2;2;3;3;3;2;2;2;2;2;4;4;4;5;3;1;3;2;3;3;1;1;2;2;4;4;4;4;3;4;5;5;9;3;3;N;Y;Female;1946;Silent generation ;Biobío
70;2;2;3;3;2;2;2;4;4;4;2;4;2;4;2;2;2;2;2;2;2;2;4;2;3;3;1;1;4;4;3;2;2;2;2;2;2;4;4;3;4;4;4;4;3;2;2;Y;Y;Female;1948;Early Baby boomer ;Biobío
71;2;4;5;5;3;4;4;4;4;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;4;2;3;5;5;5;5;2;2;2;3;5;5;5;5;4;4;4;4;8;4;2;Y;N;Female;1959;Late Baby boomer ;Biobío
72;5;5;5;5;5;5;4;4;3;5;4;4;4;4;3;4;4;4;4;3;3;3;4;3;5;3;3;3;3;4;3;3;4;4;3;2;3;3;3;3;3;3;3;2;15;4;3;Y;N;Female;1959;Late Baby boomer ;Biobío
73;4;4;5;5;4;2;4;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;5;5;3;4;4;2;5;5;5;5;2;2;4;3;3;2;2;3;4;2;2;2;12;4;3;N;Y;Female;1943;Silent generation ;Biobío
74;4;4;5;5;4;4;4;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;5;5;3;4;4;3;4;5;4;4;2;2;4;4;3;3;3;3;4;3;3;3;12;4;3;N;Y;Male;1938;Silent generation ;Biobío
75;4;4;5;5;4;3;3;5;5;5;5;5;3;5;4;4;4;5;5;5;5;5;5;5;5;4;4;3;5;5;5;5;2;2;3;3;4;4;4;4;4;4;4;4;14;4;3;N;Y;Female;1953;Early Baby boomer ;Biobío
76;4;4;5;5;4;4;4;5;5;5;5;5;4;5;5;4;4;4;5;5;5;5;5;5;4;4;4;3;5;5;5;5;4;2;4;3;4;4;4;4;4;4;4;4;14;4;3;N;Y;Male;1949;Early Baby boomer ;Biobío
77;4;4;5;4;4;4;2;4;4;4;4;4;4;4;3;4;3;3;4;4;3;4;4;4;4;4;3;1;4;3;4;4;4;2;2;3;4;4;4;4;3;4;3;4;8;3;3;Y;N;Female;1952;Early Baby boomer ;Biobío
78;2;4;5;5;3;3;3;5;5;5;5;4;3;4;4;4;4;3;2;2;2;2;5;5;3;3;3;1;5;5;5;3;1;1;1;3;4;3;4;4;4;4;4;4;6;4;3;N;Y;Male;1937;Silent generation ;Biobío
79;2;4;4;4;2;2;2;5;5;5;5;4;3;4;4;4;4;2;2;2;2;2;5;5;3;3;3;1;4;4;4;4;2;1;1;3;4;4;4;4;4;4;4;4;6;4;3;N;Y;Female;1940;Silent generation ;Biobío
80;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;1;4;5;5;5;4;2;4;4;3;4;3;4;4;4;4;3;5;4;3;N;Y;Female;1947;Early Baby boomer ;Biobío
81;4;4;4;4;4;3;3;5;5;5;5;4;4;5;5;5;5;4;4;4;4;4;4;4;5;5;5;4;3;4;4;3;4;2;4;3;4;4;3;4;4;3;4;3;5;4;4;N;Y;Female;1947;Early Baby boomer ;Coquimbo
82;5;5;5;5;4;4;4;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;2;2;4;4;3;3;3;3;2;3;2;5;10;3;3;N;Y;Female;1946;Silent generation ;Coquimbo
83;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;3;3;4;3;3;4;4;5;4;4;2;4;4;4;4;3;3;3;3;4;4;4;4;4;4;5;3;10;3;3;Y;N;Female;1959;Late Baby boomer ;Biobío
84;4;4;5;4;3;3;3;4;4;4;5;3;4;4;4;4;4;3;3;4;3;3;5;4;5;4;2;2;4;3;3;4;3;3;4;3;4;4;3;4;4;4;4;4;8;3;2;Y;N;Male;1958;Late Baby boomer ;Biobío
85;2;3;3;4;1;1;1;5;5;5;3;2;1;1;3;3;3;2;2;2;2;2;4;3;4;3;2;2;3;3;2;2;2;1;1;1;4;4;4;4;4;4;4;4;6;3;4;N;N;Female;1928;Silent generation ;Biobío
86;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;4;5;5;3;5;5;5;5;4;3;4;4;3;3;3;3;5;5;4;4;10;4;3;N;N;Female;1958;Late Baby boomer ;Biobío
87;5;5;5;4;4;3;3;5;4;4;5;4;3;4;4;4;4;4;4;3;4;4;5;5;3;3;3;4;4;4;4;4;4;4;3;4;4;3;3;4;4;4;4;2;2;3;3;Y;N;Female;1961;Late Baby boomer ;Coquimbo
88;3;3;4;4;3;3;3;4;4;4;4;3;4;4;4;4;4;3;2;3;3;3;4;4;4;4;1;1;4;3;4;3;5;3;3;3;4;4;4;4;3;4;4;4;8;3;3;N;Y;Female;1948;Early Baby boomer ;Biobío
89;4;4;4;4;3;3;3;4;4;4;1;4;2;4;4;4;4;5;5;5;5;5;4;4;4;4;2;3;4;4;4;4;2;2;2;5;4;4;4;3;5;5;5;5;6;3;3;N;Y;Female;1949;Early Baby boomer ;Biobío
90;4;5;5;4;3;3;3;3;4;3;4;4;5;3;5;4;3;2;3;2;2;4;4;3;4;4;3;1;4;4;4;3;2;1;2;2;2;4;4;4;2;5;5;5;17;4;3;Y;Y;Male;1959;Late Baby boomer ;Biobío
91;4;5;5;5;4;3;3;4;4;4;3;4;2;4;4;3;3;3;3;3;2;2;4;2;4;4;3;1;4;4;2;2;5;2;2;2;4;4;4;5;2;5;5;5;17;3;3;Y;Y;Female;1961;Late Baby boomer ;Biobío
92;5;5;5;5;4;4;4;5;5;5;5;4;4;5;4;4;4;3;3;3;3;4;5;5;5;5;3;3;5;5;5;5;2;2;4;3;4;4;5;5;5;3;3;2;10;4;4;Y;Y;Female;1950;Early Baby boomer ;Coquimbo
93;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;5;5;5;3;3;3;4;4;4;4;4;2;4;4;2;2;2;2;4;3;4;2;10;2;3;N;Y;Female;1939;Silent generation ;Biobío
94;3;4;5;5;2;2;2;4;4;4;4;3;3;4;4;3;3;2;2;2;2;2;4;4;3;3;3;1;4;4;4;4;2;2;2;2;4;4;4;4;4;4;4;4;5;4;3;N;Y;Female;1938;Silent generation ;Biobío
95;4;4;5;4;1;2;2;4;4;4;3;4;2;4;4;4;4;4;4;4;4;4;4;4;4;5;5;1;4;4;4;4;4;4;4;4;3;4;2;4;4;4;2;2;5;4;3;Y;N;Male;1959;Late Baby boomer ;Biobío
